id,neighbourhood_cleansed,latitude,longitude,room_type,bedrooms,beds,price,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
788841,7e Arrondissement,45.75158,4.84516,Entire home/apt,,1.0,$49.00,t,0,0,0,0,2021-09-15,18,18,0,0
789425,1er Arrondissement,45.7707,4.83206,Entire home/apt,3.0,3.0,$150.00,t,21,51,79,354,2021-09-15,3,2,1,0
792903,8e Arrondissement,45.73096,4.86915,Entire home/apt,1.0,1.0,$48.00,t,0,1,24,299,2021-09-15,1,1,0,0
795316,3e Arrondissement,45.76224,4.86281,Entire home/apt,,2.0,$54.00,t,0,0,0,137,2021-09-15,83,83,0,0
799734,1er Arrondissement,45.77286,4.83128,Entire home/apt,4.0,5.0,$115.00,t,0,0,0,0,2021-09-15,1,1,0,0
809514,4e Arrondissement,45.77486,4.83469,Entire home/apt,1.0,2.0,$62.00,t,0,5,27,278,2021-09-15,1,1,0,0
814300,3e Arrondissement,45.75633,4.84916,Entire home/apt,1.0,0.0,$79.00,t,2,2,9,266,2021-09-15,1,1,0,0
815342,1er Arrondissement,45.76792,4.82914,Entire home/apt,1.0,1.0,$65.00,t,0,20,43,299,2021-09-15,1,1,0,0
819263,3e Arrondissement,45.76256,4.86704,Private room,3.0,2.0,$420.00,t,0,0,0,0,2021-09-15,1,0,1,0
819294,6e Arrondissement,45.76806,4.85582,Private room,1.0,2.0,$66.00,t,1,1,1,249,2021-09-15,1,0,1,0
822891,3e Arrondissement,45.76289,4.85319,Entire home/apt,1.0,2.0,$55.00,t,0,0,2,182,2021-09-15,18,18,0,0
831713,5e Arrondissement,45.75673,4.81539,Entire home/apt,2.0,2.0,$65.00,t,0,0,0,137,2021-09-15,2,2,0,0
845068,2e Arrondissement,45.76413,4.83734,Entire home/apt,2.0,3.0,$190.00,t,0,0,13,103,2021-09-15,1,1,0,0
875127,3e Arrondissement,45.75059,4.87707,Private room,1.0,1.0,$24.00,t,0,0,0,0,2021-09-15,8,0,8,0
877193,3e Arrondissement,45.75874,4.84776,Entire home/apt,5.0,6.0,$240.00,t,0,0,0,10,2021-09-15,1,1,0,0
903331,6e Arrondissement,45.76964,4.85835,Entire home/apt,2.0,2.0,$120.00,t,0,0,13,288,2021-09-15,2,2,0,0
903333,6e Arrondissement,45.76758,4.8584,Entire home/apt,2.0,2.0,$90.00,t,0,0,13,288,2021-09-15,2,2,0,0
911577,7e Arrondissement,45.75158,4.84516,Entire home/apt,1.0,3.0,$59.00,t,0,0,0,0,2021-09-15,18,18,0,0
922833,1er Arrondissement,45.76825,4.83128,Entire home/apt,2.0,4.0,$350.00,t,0,0,0,263,2021-09-15,2,1,1,0
931623,1er Arrondissement,45.77149,4.82684,Private room,1.0,1.0,$33.00,t,4,4,4,81,2021-09-15,1,0,1,0
934758,8e Arrondissement,45.73335,4.85548,Private room,1.0,2.0,$40.00,t,0,0,0,272,2021-09-15,1,0,1,0
937965,6e Arrondissement,45.76922,4.85237,Entire home/apt,1.0,1.0,$19.00,t,0,0,0,0,2021-09-15,1,1,0,0
944927,8e Arrondissement,45.73959,4.87598,Entire home/apt,,1.0,$50.00,t,0,0,0,257,2021-09-15,19,19,0,0
966892,3e Arrondissement,45.75383,4.84897,Entire home/apt,1.0,1.0,$40.00,t,0,0,0,0,2021-09-15,1,1,0,0
993188,1er Arrondissement,45.76686,4.83564,Private room,1.0,1.0,$40.00,t,0,0,0,257,2021-09-15,1,0,1,0
1006613,3e Arrondissement,45.76143,4.8455,Entire home/apt,3.0,4.0,$210.00,t,5,28,43,229,2021-09-15,1,1,0,0
1007825,5e Arrondissement,45.75735,4.81252,Entire home/apt,1.0,2.0,$65.00,t,11,41,71,71,2021-09-15,1,1,0,0
1033511,1er Arrondissement,45.77243,4.82847,Private room,1.0,1.0,$33.00,t,4,4,4,269,2021-09-15,1,0,1,0
1041201,1er Arrondissement,45.76914,4.83575,Entire home/apt,1.0,1.0,$95.00,t,2,10,27,238,2021-09-15,1,1,0,0
1055532,1er Arrondissement,45.7715,4.83261,Entire home/apt,2.0,2.0,$75.00,t,0,22,52,327,2021-09-15,2,1,1,0
1115943,3e Arrondissement,45.75733,4.85417,Private room,1.0,1.0,$50.00,t,14,44,74,349,2021-09-15,1,0,1,0
1131474,7e Arrondissement,45.75284,4.84246,Entire home/apt,1.0,1.0,$39.00,t,1,21,49,324,2021-09-15,1,1,0,0
1134118,2e Arrondissement,45.74888,4.82966,Entire home/apt,2.0,4.0,$99.00,t,0,0,0,129,2021-09-15,2,2,0,0
1140466,7e Arrondissement,45.74831,4.8508,Entire home/apt,1.0,2.0,$38.00,t,0,0,0,64,2021-09-15,3,3,0,0
1143697,5e Arrondissement,45.74892,4.79114,Entire home/apt,3.0,4.0,$85.00,t,0,0,0,199,2021-09-15,1,1,0,0
1186824,1er Arrondissement,45.77181,4.82074,Private room,1.0,1.0,$85.00,t,22,52,82,357,2021-09-15,1,0,1,0
1187078,6e Arrondissement,45.7666,4.84657,Entire home/apt,1.0,1.0,$85.00,t,0,0,0,229,2021-09-15,3,3,0,0
1193019,3e Arrondissement,45.76025,4.87302,Private room,1.0,2.0,$30.00,t,14,44,74,159,2021-09-15,1,0,1,0
1205396,3e Arrondissement,45.74776,4.88094,Entire home/apt,1.0,1.0,$31.00,t,0,0,0,0,2021-09-15,1,1,0,0
1206759,4e Arrondissement,45.77621,4.83692,Entire home/apt,1.0,2.0,$55.00,t,0,0,0,272,2021-09-15,1,1,0,0
1242531,1er Arrondissement,45.76807,4.82887,Entire home/apt,1.0,2.0,$72.00,t,0,0,0,151,2021-09-15,1,1,0,0
1248587,5e Arrondissement,45.76385,4.82893,Entire home/apt,1.0,1.0,$19.00,t,0,0,0,14,2021-09-15,1,1,0,0
1250609,1er Arrondissement,45.77235,4.83405,Entire home/apt,1.0,2.0,$73.00,t,0,0,0,0,2021-09-15,1,1,0,0
1254256,3e Arrondissement,45.75429,4.87379,Entire home/apt,1.0,1.0,$54.00,t,0,0,0,0,2021-09-15,1,1,0,0
1259680,5e Arrondissement,45.75625,4.7962,Entire home/apt,1.0,2.0,$97.00,t,17,46,72,340,2021-09-15,1,1,0,0
1278641,9e Arrondissement,45.77886,4.80682,Entire home/apt,1.0,1.0,$75.00,t,19,49,77,352,2021-09-15,1,1,0,0
1282918,2e Arrondissement,45.75474,4.82895,Entire home/apt,1.0,1.0,$73.00,t,0,0,0,0,2021-09-15,1,1,0,0
1315626,3e Arrondissement,45.75605,4.85528,Entire home/apt,1.0,1.0,$58.00,t,0,0,0,43,2021-09-15,1,1,0,0
1329229,5e Arrondissement,45.76037,4.82485,Entire home/apt,3.0,6.0,$293.00,t,0,0,0,0,2021-09-15,4,4,0,0
1332979,1er Arrondissement,45.76974,4.82912,Entire home/apt,1.0,4.0,$69.00,t,19,49,79,354,2021-09-15,1,1,0,0
1355768,3e Arrondissement,45.74281,4.87828,Entire home/apt,2.0,2.0,$70.00,t,0,0,0,0,2021-09-15,1,1,0,0
1357034,9e Arrondissement,45.767,4.80983,Private room,1.0,1.0,$30.00,t,0,13,43,318,2021-09-15,1,0,1,0
1367748,1er Arrondissement,45.77136,4.83444,Entire home/apt,,1.0,$60.00,t,0,0,0,0,2021-09-15,1,1,0,0
1372080,7e Arrondissement,45.73983,4.85174,Entire home/apt,,1.0,$148.00,t,23,53,83,358,2021-09-15,3,3,0,0
