id_mutation,date_mutation,nature_mutation,price,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,type_local,nombre_pieces_principales,surface_terrain,longitude,latitude
2020-675593,2020-01-06,Vente,173000.0,5,,RUE DU PLAT,5585,69002,Lyon 2e Arrondissement,69,33.69,69.0,Local industriel. commercial ou assimilé,0,0.0,4.82994,45.75846
2020-675595,2020-01-08,Vente,120000.0,7,,IMP DU BON PASTEUR,0975,69001,Lyon 1er Arrondissement,69,,41.0,Appartement,1,0.0,4.83053,45.77274
2020-675595,2020-01-08,Vente,120000.0,7,,IMP DU BON PASTEUR,0975,69001,Lyon 1er Arrondissement,69,,,Dépendance,0,0.0,4.83053,45.77274
2020-675597,2020-01-06,Vente,260000.0,73,,CRS CHARLEMAGNE,1490,69002,Lyon 2e Arrondissement,69,,209.0,Local industriel. commercial ou assimilé,0,0.0,4.82178,45.74319
2020-675598,2020-01-07,Vente,236000.0,6,,RUE DU JARDIN DES PLANTES,3660,69001,Lyon 1er Arrondissement,69,,39.0,Appartement,2,0.0,4.82987,45.7695
2020-675600,2020-01-09,Vente,1530000.0,11,,RUE HERMANN SABRAN,3540,69004,Lyon 4e Arrondissement,69,,223.0,Maison,8,500.0,4.8221,45.7859
2020-675600,2020-01-09,Vente,1530000.0,11,,RUE HERMANN SABRAN,3540,69004,Lyon 4e Arrondissement,69,,223.0,Maison,8,669.0,4.8221,45.7859
2020-675600,2020-01-09,Vente,1530000.0,11,,RUE HERMANN SABRAN,3540,69004,Lyon 4e Arrondissement,69,,,,0,590.0,4.82243,45.78532
2020-675601,2020-01-03,Vente,96000.0,1,,RUE D IVRY,3615,69004,Lyon 4e Arrondissement,69,,42.0,Appartement,2,0.0,4.83243,45.77732
2020-675601,2020-01-03,Vente,96000.0,1,,RUE D IVRY,3615,69004,Lyon 4e Arrondissement,69,,8.0,Appartement,1,0.0,4.83243,45.77732
2020-675602,2020-01-10,Vente,239145.0,39,B,RUE DES AQUEDUCS,0415,69005,Lyon 5e Arrondissement,69,,51.0,Appartement,2,0.0,4.7927,45.75851
2020-675602,2020-01-10,Vente,239145.0,39,B,RUE DES AQUEDUCS,0415,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.7927,45.75851
2020-675603,2020-01-08,Vente,200000.0,207,,AV BARTHELEMY BUYER,0680,69005,Lyon 5e Arrondissement,69,68.5,77.0,Appartement,3,0.0,4.79,45.76384
2020-675604,2020-01-06,Vente,240000.0,5,,RUE PERE LOUIS DE GALARD,5347,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.79441,45.78531
2020-675604,2020-01-06,Vente,240000.0,3,,RUE PERE LOUIS DE GALARD,5347,69009,Lyon 9e Arrondissement,69,81.0,81.0,Appartement,4,0.0,4.79441,45.78531
2020-675606,2020-01-10,Vente,230800.0,11,,RUE JEANNE - MARIE CELU,3850,69004,Lyon 4e Arrondissement,69,45.51,48.0,Appartement,1,0.0,4.8358,45.77608
2020-675607,2020-01-10,Vente,146590.0,10,,AV DE MENIVAL,4720,69005,Lyon 5e Arrondissement,69,,69.0,Appartement,4,0.0,4.78605,45.75745
2020-675608,2020-01-13,Vente,115000.0,48,,RUE DE CONDE,1880,69002,Lyon 2e Arrondissement,69,16.5,18.0,Appartement,1,0.0,4.83153,45.75058
