id_mutation,date_mutation,nature_mutation,price,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,type_local,nombre_pieces_principales,surface_terrain,longitude,latitude
2020-680646,2020-10-29,Vente,6850000.0,34,,QUAI SAINT ANTOINE,6245,69002,Lyon 2e Arrondissement,69,,110.0,Appartement,3,0.0,4.83204,45.76168
2020-680646,2020-10-29,Vente,6850000.0,34,,QUAI SAINT ANTOINE,6245,69002,Lyon 2e Arrondissement,69,,110.0,Appartement,3,0.0,4.83204,45.76168
2020-680646,2020-10-29,Vente,6850000.0,34,,QUAI SAINT ANTOINE,6245,69002,Lyon 2e Arrondissement,69,,110.0,Appartement,3,0.0,4.83204,45.76168
2020-680648,2020-10-30,Vente,290000.0,18,B,RUE ROGER RADISSON,6095,69005,Lyon 5e Arrondissement,69,95.49,92.0,Appartement,4,0.0,4.81945,45.761
2020-680652,2020-10-22,Vente,1030500.0,1,B,MTE DE LA CHANA,1415,69005,Lyon 5e Arrondissement,69,182.27,170.0,Appartement,4,0.0,4.82034,45.76606
2020-680652,2020-10-22,Vente,1030500.0,1,B,MTE DE LA CHANA,1415,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.82034,45.76606
2020-680657,2020-10-21,Vente,200000.0,21,,RUE DUMONT,2395,69004,Lyon 4e Arrondissement,69,,71.0,Local industriel. commercial ou assimilé,0,0.0,4.83073,45.77649
2020-680658,2020-10-19,Vente,415000.0,24,B,RUE DES TUILERIES,7190,69009,Lyon 9e Arrondissement,69,,85.0,Appartement,4,0.0,4.80302,45.77241
2020-680659,2020-11-06,Vente,7500.0,10,,PL LT MOREL,4240,69001,Lyon 1er Arrondissement,69,,62.0,Appartement,3,0.0,4.82607,45.77218
2020-680661,2020-11-06,Vente,155000.0,2,,RUE DES TEMPLIERS,6920,69002,Lyon 2e Arrondissement,69,,,Dépendance,0,0.0,4.83069,45.75934
2020-680664,2020-10-22,Vente,199000.0,6,,AV DU PLATEAU,5568,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.79461,45.7853
2020-680664,2020-10-22,Vente,199000.0,1,,RUE PERE LOUIS DE GALARD,5347,69009,Lyon 9e Arrondissement,69,65.47,65.0,Appartement,3,0.0,4.79461,45.7853
2020-680665,2020-11-06,Vente,15000.0,10,,PL LT MOREL,4240,69001,Lyon 1er Arrondissement,69,,68.0,Appartement,2,0.0,4.82607,45.77218
2020-680671,2020-10-26,Vente,187000.0,19,,RUE DESIREE,2165,69001,Lyon 1er Arrondissement,69,18.62,20.0,Appartement,1,0.0,4.83588,45.76853
2020-680672,2020-11-06,Vente,390150.0,5,,RUE DE LA POUDRIERE,5670,69001,Lyon 1er Arrondissement,69,,65.0,Appartement,2,0.0,4.81628,45.77122
2020-680674,2020-10-26,Vente,575050.0,10,,RUE PERROD,5360,69004,Lyon 4e Arrondissement,69,,82.0,Appartement,3,0.0,4.8286,45.77522
2020-680675,2020-10-22,Vente,900000.0,62,,AV SIDOINE APOLLINAIRE,6780,69009,Lyon 9e Arrondissement,69,,148.0,Maison,5,1108.0,4.79708,45.76955
2020-680676,2020-10-22,Vente,238138.0,52,B,AV DU POINT DU JOUR,5620,69005,Lyon 5e Arrondissement,69,102.2,309.0,Local industriel. commercial ou assimilé,0,0.0,4.79924,45.75717
2020-680677,2020-10-22,Vente,680000.0,60,,AV SIDOINE APOLLINAIRE,6780,69009,Lyon 9e Arrondissement,69,,100.0,Maison,5,477.0,4.79693,45.76982
2020-680677,2020-10-22,Vente,680000.0,8,,RUE DES DEUX AMANTS,2175,69009,Lyon 9e Arrondissement,69,,,,0,180.0,4.79672,45.76977
