latitude,longitude,airbnbValue,cadastreValue,ratio
45.75253,4.850991,5079,324500,0.015651772
45.750267,4.818901,19995,194385,0.10286287
45.745102,4.884735,0,133000,0.0
45.772324,4.7931724,1586,210365,0.007539277
45.768368,4.826581,4668,360000,0.012966666
45.76686,4.854154,10485,233633,0.044878077
45.76311,4.8336673,5443,4297000,0.0012666977
45.765633,4.8332872,8974,309842,0.028963149
45.754303,4.845184,4016,308800,0.013005181
45.778767,4.808001,0,155000,0.0
45.756386,4.848964,5163,242100,0.0213259
45.76154,4.8444037,7468,221150,0.033768933
45.725124,4.872669,6519,168000,0.03880357
45.75058,4.8593025,85,399000,2.1303259E-4
45.748154,4.8506126,1052,97520,0.010787531
45.75588,4.8683395,9175,248325,0.03694755
45.73615,4.8654175,0,120408,0.0
45.744812,4.8722334,663,299485,0.0022138003
45.78791,4.802045,0,185000,0.0
45.751266,4.8109,0,224472,0.0
45.744556,4.8475823,426,338815,0.0012573233
45.753906,4.843201,6297,127173,0.04951523
45.749256,4.7742977,2087,359400,0.0058069006
45.770744,4.8377657,15827,274623,0.057631735
45.75445,4.8122663,5848,161000,0.03632298
45.77787,4.8260827,9375,337768,0.027755737
45.76425,4.828058,10991,344000,0.03195058
45.762726,4.841633,982,460000,0.0021347825
45.739285,4.836388,6624,255000,0.02597647
45.75281,4.886544,0,200000,0.0
45.770847,4.8031588,6748,205980,0.032760464
45.757492,4.8253565,0,290000,0.0
45.743187,4.8507423,0,141179,0.0
45.749794,4.8377237,1814,229733,0.0078961225
45.73031,4.854166,13237,226966,0.05832151
45.77503,4.8302507,3134,219750,0.014261661
45.75289,4.842369,4186,316250,0.013236363
45.748135,4.8455157,4587,250000,0.018348
45.76974,4.8533263,4829,236950,0.020379826
45.782307,4.815085,6688,215900,0.030977305
45.735977,4.8790784,0,185000,0.0
45.75263,4.8778276,0,208900,0.0
45.771885,4.825243,4612,188750,0.024434438
45.75292,4.84704,4366,257200,0.016975116
45.77534,4.8054514,15,124558,1.2042582E-4
45.769848,4.84752,18327,460480,0.039799776
45.747948,4.8355937,7694,106001,0.07258422
45.75502,4.8556056,7936,306933,0.025855806
45.767048,4.836436,8788,227664,0.038600747
45.732445,4.858946,801,178073,0.0044981553
45.759865,4.848726,748,196166,0.003813097
45.769855,4.842528,0,620225,0.0
45.752853,4.855691,0,345790,0.0
45.7514,4.85569,5461,253700,0.021525424
45.771923,4.8336163,5993,550660,0.010883303
45.75639,4.8521953,1563,1735000,9.0086454E-4
