id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2017-929152,2017-01-04,000002,Vente,180000,,,LE TREMBLAY,B022,69250,69003,Albigny-sur-Saône,69,,,69003000AL0347,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,662,4.825227,45.868435
2017-929292,2017-01-18,000001,Vente,155000,,,LA PLAINE,B019,69250,69003,Albigny-sur-Saône,69,,,69003000AD0037,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,714,4.832571,45.857533
2017-929292,2017-01-18,000001,Vente,155000,,,LA PLAINE,B019,69250,69003,Albigny-sur-Saône,69,,,69003000AD0037,,,,,,,,,,,,,0,,,,,S,sols,,,300,4.832571,45.857533
2017-929292,2017-01-18,000001,Vente,155000,14,,CHE NOTRE DAME,0220,69250,69003,Albigny-sur-Saône,69,,,69003000AD0094,,,,,,,,,,,,,0,1,Maison,81,4,S,sols,,,397,4.832158,45.857594
2017-929322,2017-01-17,000001,Vente,278500,31,,AV DES AVORAUX,0020,69250,69003,Albigny-sur-Saône,69,,,69003000AM0103,,,97,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.830946,45.870641
2017-929322,2017-01-17,000001,Vente,278500,31,,AV DES AVORAUX,0020,69250,69003,Albigny-sur-Saône,69,,,69003000AM0103,,,10,81.46,46,,,,,,,,2,2,Appartement,80,4,,,,,,4.830946,45.870641
2017-929397,2017-01-24,000001,Vente en l'état futur d'achèvement,145500,3,,RUE VOIE NOUVELLE,0260,69250,69003,Albigny-sur-Saône,69,,,69003000AC0091,,,11,,,,,,,,,,1,2,Appartement,39,2,,,,,,4.831207,45.859933
2017-929397,2017-01-24,000001,Vente en l'état futur d'achèvement,145500,3,,RUE VOIE NOUVELLE,0260,69250,69003,Albigny-sur-Saône,69,,,69003000AC0091,,,92,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.831207,45.859933
2017-929494,2017-01-19,000001,Vente,369000,9,,AV HENRI BARBUSSE,0158,69250,69003,Albigny-sur-Saône,69,,,69003000AC0064,,,137,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.836055,45.862826
2017-929494,2017-01-19,000001,Vente,369000,9,,AV HENRI BARBUSSE,0158,69250,69003,Albigny-sur-Saône,69,,,69003000AC0064,,,157,179.27,,,,,,,,,1,2,Appartement,179,6,,,,,,4.836055,45.862826
