id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-697350,2020-01-21,000001,Vente,1,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0410,,,,,,,,,,,,,0,,,,,S,sols,,,31,4.738837,45.924562
2020-697351,2020-01-24,000001,Vente,1,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0412,,,,,,,,,,,,,0,,,,,S,sols,,,192,4.739209,45.923559
2020-697387,2020-01-22,000002,Vente,150000,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0507,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,803,4.735508,45.929041
2020-697602,2020-01-31,000001,Vente,73000,1015,,RTE D ANSE,0010,69480,69005,Ambérieux,69,,,69005000AB0455,,,7,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.733997,45.928542
2020-697602,2020-01-31,000001,Vente,73000,1015,,RTE D ANSE,0010,69480,69005,Ambérieux,69,,,69005000AB0455,,,2,26.5,,,,,,,,,1,2,Appartement,26,2,,,,,,4.733997,45.928542
2020-697767,2020-02-06,000001,Vente,150000,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0506,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,861,4.735497,45.92885
2020-697832,2020-02-14,000001,Vente,89000,79,,IMP IMPASSE DU MOULIN,0130,69480,69005,Ambérieux,69,,,69005000AB0353,,,10,,4,,9,,,,,,3,2,Appartement,43,2,,,,,,4.731669,45.928107
2020-697919,2020-02-21,000002,Vente,4000,141,,RUE DES CREUX,0017,69480,69005,Ambérieux,69,,,69005000AB0511,,,,,,,,,,,,,0,1,Maison,60,3,S,sols,,,67,4.739882,45.926086
2020-698019,2020-02-20,000001,Vente,244700,233,,RUE DES CREUX,0017,69480,69005,Ambérieux,69,,,69005000AB0150,,,,,,,,,,,,,0,1,Maison,70,3,S,sols,,,500,4.740969,45.92577
2020-698019,2020-02-20,000001,Vente,244700,233,,RUE DES CREUX,0017,69480,69005,Ambérieux,69,,,69005000AB0150,,,,,,,,,,,,,0,1,Maison,70,3,AG,terrains d'agrément,PARC,Parc,1074,4.740969,45.92577
2020-698019,2020-02-20,000001,Vente,244700,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0151,,,,,,,,,,,,,0,,,,,S,sols,,,236,4.740503,45.925562
2020-698120,2020-02-24,000001,Vente,244600,259,,RTE D ANSE,0010,69480,69005,Ambérieux,69,,,69005000ZD0179,,,,,,,,,,,,,0,1,Maison,101,4,S,sols,,,987,4.726229,45.932868
2020-698120,2020-02-24,000001,Vente,244600,,,PRE GUDET,B020,69480,69005,Ambérieux,69,,,69005000ZD0181,,,,,,,,,,,,,0,,,,,J,jardins,,,242,4.726409,45.932762
2020-698626,2020-05-05,000001,Vente,175000,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0505,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1004,4.736073,45.928341
2020-698682,2020-05-18,000001,Vente,179000,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0500,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,759,4.738704,45.924316
2020-698980,2020-06-05,000001,Vente,308940,441,,RUE MARIO ET MONIQUE PIANI,0126,69480,69005,Ambérieux,69,,,69005000ZD0031,,,,,,,,,,,,,0,1,Maison,135,4,S,sols,,,136,4.736054,45.929267
2020-699005,2020-06-29,000001,Vente,320000,5061,C,RUE DU STADE,0142,69480,69005,Ambérieux,69,,,69005000AB0184,,,,,,,,,,,,,0,1,Maison,82,3,S,sols,,,210,4.73611,45.923784
2020-699005,2020-06-29,000001,Vente,320000,5061,C,RUE DU STADE,0142,69480,69005,Ambérieux,69,,,69005000AB0184,,,,,,,,,,,,,0,1,Maison,82,3,J,jardins,,,1300,4.73611,45.923784
2020-699500,2020-08-25,000001,Vente,270600,251,,RUE DE LA MAIRIE,0060,69480,69005,Ambérieux,69,,,69005000AB0188,,,,,,,,,,,,,0,1,Maison,90,3,S,sols,,,548,4.739436,45.927418
2020-700005,2020-10-29,000001,Vente,367600,5097,,RUE DE LA BARMONDIERE,0012,69480,69005,Ambérieux,69,,,69005000AB0520,,,,,,,,,,,,,0,1,Maison,108,6,S,sols,,,1156,4.739049,45.924954
2020-700418,2020-12-16,000002,Vente,330000,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0526,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,651,4.740357,45.927306
2020-700418,2020-12-16,000002,Vente,330000,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0527,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,145,4.740233,45.927323
