id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-697249,2020-01-13,000001,Vente,139000,202,,MTE DU PERROUX,0070,69380,69004,Alix,69,,,690040000U1458,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,PARC,Parc,552,4.65375,45.909366
2020-697372,2020-01-17,000001,Vente,174930,187,,RUE DE L EGLISE,0043,69380,69004,Alix,69,,,690040000U1315,,,6,63.06,,,,,,,,,1,2,Appartement,64,3,,,,,,4.655066,45.913145
2020-697382,2020-01-13,000001,Vente,462000,54,,IMP LACENAIRE,0060,69380,69004,Alix,69,,,690040000U1041,,,,,,,,,,,,,0,1,Maison,59,2,AG,terrains d'agrément,PARC,Parc,1330,4.648495,45.915382
2020-697382,2020-01-13,000001,Vente,462000,54,,IMP LACENAIRE,0060,69380,69004,Alix,69,,,690040000U1041,,,,,,,,,,,,,0,1,Maison,59,2,S,sols,,,982,4.648495,45.915382
2020-697382,2020-01-13,000001,Vente,462000,54,,IMP LACENAIRE,0060,69380,69004,Alix,69,,,690040000U1041,,,,,,,,,,,,,0,1,Maison,161,4,AG,terrains d'agrément,PARC,Parc,1330,4.648495,45.915382
2020-697382,2020-01-13,000001,Vente,462000,54,,IMP LACENAIRE,0060,69380,69004,Alix,69,,,690040000U1041,,,,,,,,,,,,,0,1,Maison,161,4,S,sols,,,982,4.648495,45.915382
2020-697556,2020-01-30,000001,Vente,205000,208,,RUE AYME CHALUS,0016,69380,69004,Alix,69,,,690040000U0893,,,,,,,,,,,,,0,1,Maison,64,3,S,sols,,,917,4.651463,45.909269
2020-697702,2020-02-20,000001,Vente,295000,80,,MTE DES GUILLAUMES,0053,69380,69004,Alix,69,,,690040000U0948,,,,,,,,,,,,,0,1,Maison,105,4,S,sols,,,1268,4.652087,45.908592
2020-697916,2020-02-21,000001,Vente,201000,25,,PL DES CHANOINESSES,0030,69380,69004,Alix,69,,,690040000U1444,,,2,,6,70.05,,,,,,,2,2,Appartement,75,3,,,,,,4.654466,45.912407
2020-697961,2020-03-05,000001,Vente,376000,164,,RUE AYME CHALUS,0016,69380,69004,Alix,69,,,690040000U0866,,,,,,,,,,,,,0,1,Maison,134,6,S,sols,,,1018,4.65102,45.908731
2020-698136,2020-03-10,000001,Vente,130000,36,,CHE DU VIEUX MOULIN,0091,69380,69004,Alix,69,,,690040000U0079,,,,,,,,,,,,,0,1,Maison,100,5,S,sols,,,170,4.651112,45.910229
2020-698264,2020-02-25,000002,Vente,195000,,,AU PERROUX,B014,69380,69004,Alix,69,,,690040000U1472,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,PARC,Parc,12,,
2020-698736,2020-05-04,000001,Vente,611000,,,AU GARRET,B010,69380,69004,Alix,69,,,690040000U0783,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,PARC,Parc,1130,4.656074,45.912573
2020-698736,2020-05-04,000001,Vente,611000,4,,RTE DE LA ROCHELLE,0078,69380,69004,Alix,69,,,690040000U0784,,,,,,,,,,,,,0,1,Maison,196,5,S,sols,,,900,4.655483,45.91267
2020-698736,2020-05-04,000001,Vente,611000,,,AU GARRET,B010,69380,69004,Alix,69,,,690040000U0888,,,,,,,,,,,,,0,,,,,P,prés,,,1152,4.655695,45.912434
2020-698736,2020-05-04,000001,Vente,611000,,,AU GARRET,B010,69380,69004,Alix,69,,,690040000U1110,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,PARC,Parc,1327,4.655957,45.912901
2020-698970,2020-06-16,000002,Vente,42272,,,AU PERROUX,B014,69380,69004,Alix,69,,,690040000U1326,,,,,,,,,,,,,0,,,,,P,prés,,,291,4.653723,45.911524
2020-699222,2020-07-17,000001,Vente,1050,,,AU BOURG,B003,69380,69004,Alix,69,,,690040000U0871,,,,,,,,,,,,,0,,,,,J,jardins,,,512,4.652335,45.913537
2020-699386,2020-08-12,000001,Vente,131250,487,,RTE DES BRUYERES,0024,69380,69004,Alix,69,,,690040000U1021,,,,,,,,,,,,,0,1,Maison,126,6,AG,terrains d'agrément,PARC,Parc,646,4.64738,45.916047
2020-699386,2020-08-12,000001,Vente,131250,487,,RTE DES BRUYERES,0024,69380,69004,Alix,69,,,690040000U1021,,,,,,,,,,,,,0,1,Maison,126,6,S,sols,,,1425,4.64738,45.916047
2020-700402,2020-12-21,000001,Vente,389160,57,,CHE DES ECOLIERS,0042,69380,69004,Alix,69,,,690040000U1157,,,,,,,,,,,,,0,1,Maison,95,4,AG,terrains d'agrément,PARC,Parc,1075,4.653123,45.910288
2020-700402,2020-12-21,000001,Vente,389160,57,,CHE DES ECOLIERS,0042,69380,69004,Alix,69,,,690040000U1157,,,,,,,,,,,,,0,1,Maison,95,4,S,sols,,,230,4.653123,45.910288
