id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-697281,2020-01-10,000001,Vente en l'état futur d'achèvement,15000,146,,RTE DE GRAVES,0049,69480,69009,Anse,69,,,69009000AL0109,,,111,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.715387,45.939844
2020-697282,2020-01-09,000001,Vente,95000,395,,RUE DES TROIS CHATELS,0190,69480,69009,Anse,69,,,69009000AB0320,,,,,,,,,,,,,0,,,,,VE,vergers,,,333,4.716621,45.931865
2020-697286,2020-01-07,000001,Vente,141300,96,,ALL MARIEN PRE,0085,69480,69009,Anse,69,,,69009000AM0181,,,24,49.95,,,,,,,,,1,2,Appartement,50,2,,,,,,4.713205,45.945125
2020-697286,2020-01-07,000001,Vente,141300,58,,ALL MARIEN PRE,0085,69480,69009,Anse,69,,,69009000AM0181,,,63,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.713205,45.945125
2020-697292,2020-01-13,000001,Vente,145000,9,,AV DE LA PREMIERE ARMEE,0122,69480,69009,Anse,69,,,69009000AB0308,,,1,62.9,,,,,,,,,1,2,Appartement,63,3,,,,,,4.717281,45.933875
2020-697292,2020-01-13,000001,Vente,145000,9,,AV DE LA PREMIERE ARMEE,0122,69480,69009,Anse,69,,,69009000AB0308,,,1,62.9,,,,,,,,,1,3,Dépendance,,0,,,,,,4.717281,45.933875
2020-697341,2020-01-15,000001,Vente,213000,8,,RUE FRETON,0038,69480,69009,Anse,69,,,69009000AA0042,,,,,,,,,,,,,0,1,Maison,73,4,S,sols,,,60,4.718992,45.936
2020-697344,2020-01-20,000001,Vente,247000,103,,ALL MARIEN PRE,0085,69480,69009,Anse,69,,,69009000AM0242,,,1,,,,,,,,,,1,1,Maison,86,4,,,,,,4.712816,45.94464
2020-697352,2020-01-13,000001,Vente,155000,662,,RTE DE LYON,0077,69480,69009,Anse,69,,,69009000AK0138,,,5,,6,,,,,,,,2,2,Appartement,56,1,,,,,,4.721528,45.935952
2020-697368,2020-01-24,000001,Vente,274900,799,,RTE DE GRAVES,0049,69480,69009,Anse,69,,,69009000AL0433,,,,,,,,,,,,,0,,,,,S,sols,,,116,4.710339,45.940239
2020-697368,2020-01-24,000001,Vente,274900,,,BANCILLON,B002,69480,69009,Anse,69,,,69009000AL0438,,,,,,,,,,,,,0,,,,,S,sols,,,110,4.71043,45.940219
