id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2018-956032,2018-01-26,000001,Vente,438760,171,,RTE DU CHATEAU DE MARZE,0032,69380,69004,Alix,69,,,690040000U0202,,,,,,,,,,,,,0,1,Maison,150,5,S,sols,,,280,4.651593,45.916245
2018-956293,2018-02-12,000001,Vente,230000,148,,RTE DE LA ROCHELLE,0078,69380,69004,Alix,69,,,690040000U0766,,,,,,,,,,,,,0,1,Maison,107,5,S,sols,,,260,4.656276,45.913737
2018-956495,2018-03-08,000001,Vente,97250,125,,RUE DE L EGLISE,0043,69380,69004,Alix,69,,,690040000U1432,,,2,39.56,6,,,,,,,,2,2,Appartement,39,2,,,,,,4.65425,45.912892
2018-956699,2018-03-26,000001,Vente,190000,187,,RUE DE L EGLISE,0043,69380,69004,Alix,69,,,690040000U1315,,,9,91.29,,,,,,,,,1,2,Appartement,94,3,,,,,,4.655066,45.913145
2018-958591,2018-08-02,000001,Vente,340000,523,,RUE AYME CHALUS,0016,69380,69004,Alix,69,,,690040000U0098,,,,,,,,,,,,,0,1,Maison,200,7,S,sols,,,670,4.652525,45.911979
2018-958696,2018-08-10,000001,Vente,388000,124,,CHE DU PRE ROND,0074,69380,69004,Alix,69,,,690040000U1452,,,,,,,,,,,,,0,1,Maison,105,3,AG,terrains d'agrément,PARC,Parc,832,4.652841,45.908147
2018-958696,2018-08-10,000001,Vente,388000,124,,CHE DU PRE ROND,0074,69380,69004,Alix,69,,,690040000U1452,,,,,,,,,,,,,0,1,Maison,140,5,S,sols,,,500,4.652841,45.908147
2018-958696,2018-08-10,000001,Vente,388000,124,,CHE DU PRE ROND,0074,69380,69004,Alix,69,,,690040000U1452,,,,,,,,,,,,,0,1,Maison,140,5,AG,terrains d'agrément,PARC,Parc,832,4.652841,45.908147
2018-958696,2018-08-10,000001,Vente,388000,124,,CHE DU PRE ROND,0074,69380,69004,Alix,69,,,690040000U1452,,,,,,,,,,,,,0,1,Maison,105,3,S,sols,,,500,4.652841,45.908147
2018-958793,2018-09-10,000001,Vente,334500,49,,CHE DES CHARMILLES,0031,69380,69004,Alix,69,,,690040000U1293,,,,,,,,,,,,,0,1,Maison,108,4,S,sols,,,500,4.655643,45.916223
2018-958793,2018-09-10,000001,Vente,334500,49,,CHE DES CHARMILLES,0031,69380,69004,Alix,69,,,690040000U1293,,,,,,,,,,,,,0,1,Maison,108,4,AG,terrains d'agrément,PARC,Parc,967,4.655643,45.916223
2018-959045,2018-09-19,000001,Vente,170000,107,,MTE DES GUILLAUMES,0053,69380,69004,Alix,69,,,690040000U0897,,,,,,,,,,,,,0,1,Maison,52,3,S,sols,,,1046,4.652504,45.90897
2018-959059,2018-09-19,000001,Vente,446430,18,,IMP DU BOIS DES NOYERS,0022,69380,69004,Alix,69,,,690040000U1250,,,,,,,,,,,,,0,1,Maison,160,7,AG,terrains d'agrément,PARC,Parc,900,4.656058,45.917634
2018-959059,2018-09-19,000001,Vente,446430,18,,IMP DU BOIS DES NOYERS,0022,69380,69004,Alix,69,,,690040000U1250,,,,,,,,,,,,,0,1,Maison,160,7,S,sols,,,500,4.656058,45.917634
2018-959164,2018-09-20,000001,Vente,195000,107,,MTE DES GUILLAUMES,0053,69380,69004,Alix,69,,,690040000U0897,,,,,,,,,,,,,0,1,Maison,52,3,S,sols,,,1046,4.652504,45.90897
