id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2016-852053,2016-01-27,000001,Vente,350495,402,,RTE DES TROTTIERES,0085,69380,69004,Alix,69,,,690040000U1349,,,,,,,,,,,,,0,1,Maison,153,6,AG,terrains d'agrément,PARC,Parc,800,4.65735,45.916727
2016-852053,2016-01-27,000001,Vente,350495,402,,RTE DES TROTTIERES,0085,69380,69004,Alix,69,,,690040000U1349,,,,,,,,,,,,,0,1,Maison,153,6,S,sols,,,500,4.65735,45.916727
2016-852221,2016-02-08,000001,Vente,217000,125,,RUE DE L EGLISE,0043,69380,69004,Alix,69,,,690040000U1432,,,1,,,,,,,,,,1,2,Appartement,117,4,,,,,,4.65425,45.912892
2016-852456,2016-03-04,000001,Vente,151400,25,,PL DES CHANOINESSES,0030,69380,69004,Alix,69,,,690040000U1444,,,1,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.654466,45.912407
2016-852456,2016-03-04,000001,Vente,151400,25,,PL DES CHANOINESSES,0030,69380,69004,Alix,69,,,690040000U1444,,,10,,,,,,,,,,1,2,Appartement,139,5,,,,,,4.654466,45.912407
2016-852470,2016-03-11,000001,Vente,127000,25,,PL DES CHANOINESSES,0030,69380,69004,Alix,69,,,690040000U1444,,,11,65.48,5,,,,,,,,2,2,Appartement,66,2,,,,,,4.654466,45.912407
2016-852592,2016-03-30,000001,Vente,170000,363,,RUE AYME CHALUS,0016,69380,69004,Alix,69,,,690040000U1417,,,13,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.651871,45.910748
2016-852592,2016-03-30,000001,Vente,170000,363,,RUE AYME CHALUS,0016,69380,69004,Alix,69,,,690040000U1417,,,12,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.651871,45.910748
2016-852592,2016-03-30,000001,Vente,170000,363,,RUE AYME CHALUS,0016,69380,69004,Alix,69,,,690040000U1417,,,5,54.97,,,,,,,,,1,2,Appartement,65,3,,,,,,4.651871,45.910748
2016-852790,2016-04-06,000001,Vente,83500,25,,PL DES CHANOINESSES,0030,69380,69004,Alix,69,,,690040000U1444,,,7,39.17,,,,,,,,,1,2,Appartement,39,1,,,,,,4.654466,45.912407
2016-852790,2016-04-06,000001,Vente,83500,25,,PL DES CHANOINESSES,0030,69380,69004,Alix,69,,,690040000U1444,,,3,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.654466,45.912407
2016-853304,2016-05-19,000001,Vente,395000,417,,RTE DES BRUYERES,0024,69380,69004,Alix,69,,,690040000U1042,,,,,,,,,,,,,0,1,Maison,117,5,S,sols,,,655,4.648526,45.915702
2016-853304,2016-05-19,000001,Vente,395000,417,,RTE DES BRUYERES,0024,69380,69004,Alix,69,,,690040000U1042,,,,,,,,,,,,,0,1,Maison,117,5,AG,terrains d'agrément,PARC,Parc,1520,4.648526,45.915702
2016-853532,2016-06-24,000001,Vente,278300,33,,ALL DES NOISETIERS,0067,69380,69004,Alix,69,,,690040000U1353,,,,,,,,,,,,,0,1,Maison,128,5,S,sols,,,697,4.657453,45.915974
2016-853820,2016-07-06,000001,Vente,373400,99,,IMP DU BOIS DES NOYERS,0022,69380,69004,Alix,69,,,690040000U1034,,,,,,,,,,,,,0,1,Maison,104,4,AG,terrains d'agrément,PARC,Parc,1580,4.656182,45.918613
2016-853820,2016-07-06,000001,Vente,373400,99,,IMP DU BOIS DES NOYERS,0022,69380,69004,Alix,69,,,690040000U1034,,,,,,,,,,,,,0,1,Maison,104,4,S,sols,,,500,4.656182,45.918613
2016-853849,2016-07-04,000001,Vente,17709,,,AUX BRUYERES,B004,69380,69004,Alix,69,,,690040000U0156,,,,,,,,,,,,,0,,,,,E,eaux,,,3238,4.650909,45.915744
2016-853849,2016-07-04,000001,Vente,17709,,,AUX BRUYERES,B004,69380,69004,Alix,69,,,690040000U0986,,,,,,,,,,,,,0,,,,,P,prés,,,28160,4.650817,45.915082
2016-853849,2016-07-04,000001,Vente,17709,,,AUX BRUYERES,B004,69380,69004,Alix,69,,,690040000U1096,,,,,,,,,,,,,0,,,,,P,prés,,,8825,4.651217,45.91571
2016-853849,2016-07-04,000001,Vente,17709,,,AUX BRUYERES,B004,69380,69004,Alix,69,,,690040000U1108,,,,,,,,,,,,,0,,,,,P,prés,,,3921,4.652484,45.91408
2016-853877,2016-07-04,000001,Vente,5703,,,AU MAPAS,B012,69380,69004,Alix,69,,,690040000U0318,,,,,,,,,,,,,0,,,,,P,prés,,,16295,4.654782,45.921403
2016-854095,2016-08-08,000001,Vente,301000,164,,RUE AYME CHALUS,0016,69380,69004,Alix,69,,,690040000U0866,,,,,,,,,,,,,0,1,Maison,134,6,S,sols,,,1018,4.65102,45.908731
2016-854341,2016-08-12,000001,Vente,170525,738,,RTE DU CHATEAU DE MARZE,0032,69380,69004,Alix,69,,,690040000U0106,,,,,,,,,,,,,0,1,Maison,64,4,S,sols,,,713,4.648652,45.921141
2016-854341,2016-08-12,000001,Vente,170525,738,,RTE DU CHATEAU DE MARZE,0032,69380,69004,Alix,69,,,690040000U0106,,,,,,,,,,,,,0,1,Maison,64,4,AG,terrains d'agrément,PARC,Parc,612,4.648652,45.921141
2016-854369,2016-09-08,000001,Vente,134000,125,,RUE DE L EGLISE,0043,69380,69004,Alix,69,,,690040000U1432,,,10,11.19,4,46.98,8,,,,,,3,2,Appartement,65,2,,,,,,4.65425,45.912892
2016-855196,2016-11-28,000001,Vente,334000,40,,ALL DES NOISETIERS,0067,69380,69004,Alix,69,,,690040000U1358,,,,,,,,,,,,,0,1,Maison,160,5,S,sols,,,871,4.657366,45.916323
2016-855402,2016-12-02,000001,Vente,218000,,,AU BOURG,B003,69380,69004,Alix,69,,,690040000U1426,,,,,,,,,,,,,0,,,,,S,sols,,,1633,4.652973,45.913743
