id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-1008482,2019-01-30,000001,Vente,115000,16,,RUE DES FONTAINES,0380,69550,69006,Amplepuis,69,,,69006000AE0391,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,333,4.334654,45.970272
2019-1008482,2019-01-30,000001,Vente,115000,16,,RUE DES FONTAINES,0380,69550,69006,Amplepuis,69,,,69006000AE0391,,,,,,,,,,,,,0,1,Maison,95,4,S,sols,,,333,4.334654,45.970272
2019-1008482,2019-01-30,000001,Vente,115000,,,LE BOURG,B022,69550,69006,Amplepuis,69,,,69006000AE0721,,,,,,,,,,,,,0,,,,,S,sols,,,12,4.334747,45.970338
2019-1008506,2019-01-21,000001,Vente en l'état futur d'achèvement,170000,,,LE BOURG,B022,69550,69006,Amplepuis,69,,,69006000AE1133,,,28,,,,,,,,,,1,2,Appartement,69,3,,,,,,4.334117,45.970622
2019-1008506,2019-01-21,000001,Vente en l'état futur d'achèvement,170000,,,LE BOURG,B022,69550,69006,Amplepuis,69,,,69006000AE1133,,,53,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.334117,45.970622
2019-1008508,2019-01-17,000002,Vente,400000,,,BERCHOUX,B010,69550,69006,Amplepuis,69,,,690060000A0650,,,,,,,,,,,,,0,,,,,S,sols,,,936,4.33533,45.983834
2019-1008508,2019-01-17,000002,Vente,400000,5,,AV JEAN MOOS,0575,69550,69006,Amplepuis,69,,,690060000A0767,,,,,,,,,,,,,0,,,,,S,sols,,,687,4.33501,45.983539
2019-1008508,2019-01-17,000002,Vente,400000,5,,AV JEAN MOOS,0575,69550,69006,Amplepuis,69,,,690060000A0927,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,1600,0,S,sols,,,9552,4.334923,45.983481
2019-1008517,2019-01-23,000001,Vente en l'état futur d'achèvement,116325,,,LE BOURG,B022,69550,69006,Amplepuis,69,,,69006000AE1133,,,25,,,,,,,,,,1,2,Appartement,49,2,,,,,,4.334117,45.970622
2019-1008517,2019-01-23,000001,Vente en l'état futur d'achèvement,116325,,,LE BOURG,B022,69550,69006,Amplepuis,69,,,69006000AE1133,,,62,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.334117,45.970622
2019-1008721,2019-01-31,000001,Vente,272000,31,,RUE AUGUSTE VILLY,0080,69550,69006,Amplepuis,69,,,69006000AD0406,,,,,,,,,,,,,0,2,Appartement,50,2,S,sols,,,179,4.332563,45.975026
2019-1008721,2019-01-31,000001,Vente,272000,31,,RUE AUGUSTE VILLY,0080,69550,69006,Amplepuis,69,,,69006000AD0406,,,,,,,,,,,,,0,2,Appartement,50,2,S,sols,,,179,4.332563,45.975026
2019-1008721,2019-01-31,000001,Vente,272000,31,,RUE AUGUSTE VILLY,0080,69550,69006,Amplepuis,69,,,69006000AD0406,,,,,,,,,,,,,0,2,Appartement,58,3,S,sols,,,179,4.332563,45.975026
2019-1008721,2019-01-31,000001,Vente,272000,31,,RUE AUGUSTE VILLY,0080,69550,69006,Amplepuis,69,,,69006000AD0406,,,,,,,,,,,,,0,2,Appartement,59,3,S,sols,,,179,4.332563,45.975026
2019-1008721,2019-01-31,000001,Vente,272000,31,,RUE AUGUSTE VILLY,0080,69550,69006,Amplepuis,69,,,69006000AD0406,,,,,,,,,,,,,0,2,Appartement,80,3,S,sols,,,179,4.332563,45.975026
2019-1008721,2019-01-31,000001,Vente,272000,31,,RUE AUGUSTE VILLY,0080,69550,69006,Amplepuis,69,,,69006000AD0406,,,,,,,,,,,,,0,2,Appartement,53,2,S,sols,,,179,4.332563,45.975026
2019-1008721,2019-01-31,000001,Vente,272000,31,,RUE AUGUSTE VILLY,0080,69550,69006,Amplepuis,69,,,69006000AD0406,,,,,,,,,,,,,0,2,Appartement,60,3,S,sols,,,179,4.332563,45.975026
2019-1008721,2019-01-31,000001,Vente,272000,31,,RUE AUGUSTE VILLY,0080,69550,69006,Amplepuis,69,,,69006000AD0406,,,,,,,,,,,,,0,2,Appartement,50,2,S,sols,,,179,4.332563,45.975026
2019-1008812,2019-02-21,000001,Vente,21000,,,VERNAYES,B123,69550,69006,Amplepuis,69,,,69006000AP0240,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,480,4.311855,45.982136
2019-1008816,2019-02-14,000001,Vente,50000,,,AU PLAT,B096,69550,69006,Amplepuis,69,,,69006000AT0215,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1501,4.286475,45.976672
2019-1008847,2019-02-01,000001,Vente,68000,69,,RUE SAINT PAUL,0860,69550,69006,Amplepuis,69,,,69006000AE0522,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,37,0,S,sols,,,107,4.331426,45.968571
2019-1008847,2019-02-01,000001,Vente,68000,69,,RUE SAINT PAUL,0860,69550,69006,Amplepuis,69,,,69006000AE0522,,,,,,,,,,,,,0,2,Appartement,50,4,S,sols,,,107,4.331426,45.968571
2019-1008847,2019-02-01,000001,Vente,68000,69,,RUE SAINT PAUL,0860,69550,69006,Amplepuis,69,,,69006000AE0522,,,,,,,,,,,,,0,2,Appartement,57,4,S,sols,,,107,4.331426,45.968571
2019-1008847,2019-02-01,000001,Vente,68000,,,LE BOURG,B022,69550,69006,Amplepuis,69,,,69006000AE0524,,,,,,,,,,,,,0,,,,,S,sols,,,58,4.331357,45.968671
2019-1008847,2019-02-01,000001,Vente,68000,,,RUE SAINT PAUL,0860,69550,69006,Amplepuis,69,,,69006000AE0525,,,,,,,,,,,,,0,,,,,S,sols,,,91,4.331484,45.968716
2019-1008950,2019-02-26,000001,Vente,192400,23,,RUE DE L EGALITE,0320,69550,69006,Amplepuis,69,,,69006000AE0306,,,,,,,,,,,,,0,1,Maison,106,6,S,sols,,,579,4.335038,45.973311
2019-1008950,2019-02-26,000001,Vente,192400,9042,,RUE SAINT ROCH,0900,69550,69006,Amplepuis,69,,,69006000AE1135,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,52,4.334955,45.973422
2019-1009313,2019-03-13,000001,Vente,130000,9013,,LE COUCY,B038,69550,69006,Amplepuis,69,,,690060000D0808,,,7,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.337785,45.970811
2019-1009313,2019-03-13,000001,Vente,130000,9013,,LE COUCY,B038,69550,69006,Amplepuis,69,,,690060000D0808,,,127,65,,,,,,,,,1,2,Appartement,64,3,,,,,,4.337785,45.970811
2019-1009313,2019-03-13,000001,Vente,130000,9013,,LE COUCY,B038,69550,69006,Amplepuis,69,,,690060000D0808,,,81,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.337785,45.970811
2019-1009314,2019-03-13,000001,Vente,190000,9021,,AU PLAT,B096,69550,69006,Amplepuis,69,,,69006000AT0216,,,,,,,,,,,,,0,1,Maison,120,5,AG,terrains d'agrément,PARC,Parc,1000,4.286784,45.97646
2019-1009314,2019-03-13,000001,Vente,190000,9021,,AU PLAT,B096,69550,69006,Amplepuis,69,,,69006000AT0216,,,,,,,,,,,,,0,1,Maison,120,5,S,sols,,,500,4.286784,45.97646
2019-1009315,2019-03-13,000001,Vente,110000,9013,,LE COUCY,B038,69550,69006,Amplepuis,69,,,690060000D0808,,,80,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.337785,45.970811
2019-1009315,2019-03-13,000001,Vente,110000,9013,,LE COUCY,B038,69550,69006,Amplepuis,69,,,690060000D0808,,,135,51.07,,,,,,,,,1,2,Appartement,51,2,,,,,,4.337785,45.970811
2019-1009351,2019-03-29,000001,Echange,75000,,,ROUSSILLON,B109,69550,69006,Amplepuis,69,,,690060000E0090,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,21950,4.363474,45.950348
