id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-1009320,2019-03-20,000001,Vente,65000,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0041,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,PARC,Parc,189,4.740824,45.925365
2019-1009320,2019-03-20,000001,Vente,65000,279,,RUE DES CREUX,0017,69480,69005,Ambérieux,69,,,69005000AB0375,,,,,,,,,,,,,0,1,Maison,115,4,S,sols,,,391,4.740719,45.925305
2019-1009320,2019-03-20,000001,Vente,65000,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0376,,,,,,,,,,,,,0,,,,,S,sols,,,30,4.740961,45.925265
2019-1009320,2019-03-20,000001,Vente,65000,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0379,,,,,,,,,,,,,0,,,,,S,sols,,,14,4.740998,45.925298
2019-1010102,2019-05-09,000001,Vente,253860,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0076,,,,,,,,,,,,,0,,,,,S,sols,,,505,4.736899,45.925293
2019-1010102,2019-05-09,000001,Vente,253860,61,,IMP DU VIEUX CHENE,0145,69480,69005,Ambérieux,69,,,69005000AB0077,,,,,,,,,,,,,0,1,Maison,73,4,S,sols,,,1000,4.737269,45.925492
2019-1010627,2019-06-18,000001,Vente,100000,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0372,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1800,4.740091,45.927456
2019-1010780,2019-07-04,000001,Vente,387950,51,,IMP DUCHEMIN,0015,69480,69005,Ambérieux,69,,,69005000AB0491,,,,,,,,,,,,,0,1,Maison,250,6,S,sols,,,1300,4.739075,45.928018
2019-1011223,2019-07-31,000001,Vente,114150,79,,IMP IMPASSE DU MOULIN,0130,69480,69005,Ambérieux,69,,,69005000AB0353,,,11,,3,43,8,,,,,,3,2,Appartement,43,2,,,,,,4.731669,45.928107
2019-1011381,2019-08-26,000001,Vente,470000,475,,RUE MARIO ET MONIQUE PIANI,0126,69480,69005,Ambérieux,69,,,69005000ZD0120,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,1232,0,S,sols,,,2076,4.736548,45.929409
2019-1011381,2019-08-26,000001,Vente,470000,,,LES RABLIERES,B022,69480,69005,Ambérieux,69,,,69005000ZD0123,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,PARC,Parc,780,4.736102,45.9297
2019-1011634,2019-09-13,000001,Vente,370350,96,,RUE DU CLOS DE LA CURE,0018,69480,69005,Ambérieux,69,,,69005000AB0301,,,,,,,,,,,,,0,1,Maison,127,6,AG,terrains d'agrément,PARC,Parc,840,4.738104,45.926691
2019-1011634,2019-09-13,000001,Vente,370350,96,,RUE DU CLOS DE LA CURE,0018,69480,69005,Ambérieux,69,,,69005000AB0301,,,,,,,,,,,,,0,1,Maison,127,6,S,sols,,,500,4.738104,45.926691
2019-1012017,2019-09-19,000002,Vente,261050,181,,RUE DE LA BARMONDIERE,0012,69480,69005,Ambérieux,69,,,69005000AB0497,,,,,,,,,,,,,0,1,Maison,72,4,,,,,,4.737874,45.924772
2019-1012241,2019-10-07,000001,Vente,100000,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0374,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1350,4.74099,45.927089
2019-1012303,2019-10-21,000001,Vente,300000,,,LES FIOUTES,B007,69480,69005,Ambérieux,69,,,69005000ZH0053,,,,,,,,,,,,,0,,,,,L,landes,,,174,4.745153,45.92543
2019-1012303,2019-10-21,000001,Vente,300000,,,LES FIOUTES,B007,69480,69005,Ambérieux,69,,,69005000ZH0054,,,,,,,,,,,,,0,,,,,L,landes,,,7056,4.743917,45.926052
2019-1012368,2019-10-10,000001,Vente,387886,83,,RUE DES TULIPIERS,0143,69480,69005,Ambérieux,69,,,69005000AB0331,,,,,,,,,,,,,0,1,Maison,113,5,AG,terrains d'agrément,PARC,Parc,853,4.734088,45.926496
2019-1012368,2019-10-10,000001,Vente,387886,83,,RUE DES TULIPIERS,0143,69480,69005,Ambérieux,69,,,69005000AB0331,,,,,,,,,,,,,0,1,Maison,113,5,S,sols,,,500,4.734088,45.926496
2019-1012941,2019-11-21,000001,Vente,387680,250,,RUE DE LA BARMONDIERE,0012,69480,69005,Ambérieux,69,,,69005000AB0055,,,,,,,,,,,,,0,1,Maison,131,4,S,sols,,,500,,
2019-1012941,2019-11-21,000001,Vente,387680,250,,RUE DE LA BARMONDIERE,0012,69480,69005,Ambérieux,69,,,69005000AB0055,,,,,,,,,,,,,0,1,Maison,131,4,AG,terrains d'agrément,PARC,Parc,1136,,
2019-1012941,2019-11-21,000001,Vente,387680,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0410,,,,,,,,,,,,,0,,,,,S,sols,,,31,4.738837,45.924562
2019-1013078,2019-12-06,000002,Vente,334040,250,,RUE DE LA BARMONDIERE,0012,69480,69005,Ambérieux,69,,,69005000AB0499,,,,,,,,,,,,,0,1,Maison,131,4,,,,,,4.738849,45.924424
2019-1013261,2019-12-20,000001,Vente,370000,6,,RUE DE LA MAIRIE,0060,69480,69005,Ambérieux,69,,,69005000AB0235,,,,,,,,,,,,,0,1,Maison,154,5,S,sols,,,500,4.736321,45.927769
2019-1013261,2019-12-20,000001,Vente,370000,6,,RUE DE LA MAIRIE,0060,69480,69005,Ambérieux,69,,,69005000AB0235,,,,,,,,,,,,,0,1,Maison,154,5,AG,terrains d'agrément,PARC,Parc,1000,4.736321,45.927769
2019-1013431,2019-12-20,000001,Vente,100000,,,LE BOURG,B003,69480,69005,Ambérieux,69,,,69005000AB0373,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1350,,
