id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-1008259,2019-01-03,000001,Vente,176800,79,,RTE DE VILLEFRANCHE,0262,69480,69009,Anse,69,,,69009000AI0360,,,1,63.61,,,,,,,,,1,2,Appartement,65,3,,,,,,4.717101,45.937893
2019-1008259,2019-01-03,000001,Vente,176800,79,,RTE DE VILLEFRANCHE,0262,69480,69009,Anse,69,,,69009000AI0360,,,12,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.717101,45.937893
2019-1008295,2019-01-02,000002,Vente,1,,,AUX CARRIERES,B016,69480,69009,Anse,69,,,69009000AD0370,,,,,,,,,,,,,0,,,,,CA,carrières,,,300,4.703167,45.923993
2019-1008304,2019-01-04,000001,Vente,230000,636,,RTE DE LYON,0077,69480,69009,Anse,69,,,69009000AK0250,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,375,0,S,sols,,,180,4.721685,45.935832
2019-1008317,2019-01-04,000001,Vente en l'état futur d'achèvement,250000,,,PONT DE BRIGNEUX,B076,69480,69009,Anse,69,,,69009000AC0375,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,360,4.706614,45.928215
2019-1008318,2019-01-02,000001,Vente en l'état futur d'achèvement,262627,,,PONT DE BRIGNEUX,B076,69480,69009,Anse,69,,,69009000AC0368,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,339,4.70735,45.928005
2019-1008386,2019-01-08,000001,Vente,253300,2001,,AV DE L EUROPE,0032,69480,69009,Anse,69,,,69009000AN0148,,,,,,,,,,,,,0,1,Maison,81,4,S,sols,,,263,4.712166,45.948591
2019-1008453,2019-01-31,000001,Vente,350000,5005,,RTE DE GRAVES,0049,69480,69009,Anse,69,,,69009000AL0503,,,,,,,,,,,,,0,1,Maison,110,3,S,sols,,,1234,4.708524,45.94044
2019-1008468,2019-01-25,000001,Vente,127500,5,,RUE DE LA BRETACHE,0010,69480,69009,Anse,69,,,69009000AA0225,,,,,,,,,,,,,0,1,Maison,41,2,S,sols,,,41,4.720157,45.934545
2019-1008605,2019-01-29,000001,Vente en l'état futur d'achèvement,232000,177,,RUE DES PEPINIERES,0115,69480,69009,Anse,69,,,69009000AL0109,,,49,,,,,,,,,,1,2,Appartement,64,3,,,,,,4.715387,45.939844
2019-1008605,2019-01-29,000001,Vente en l'état futur d'achèvement,232000,126,,RTE DE GRAVES,0049,69480,69009,Anse,69,,,69009000AL0109,,,75,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.715387,45.939844
2019-1008609,2019-01-28,000001,Vente,265050,477,,RTE DE VILLEFRANCHE,0262,69480,69009,Anse,69,,,69009000AL0086,,,16,,4,87,,,,,,,2,2,Appartement,86,3,,,,,,4.715489,45.941497
2019-1008609,2019-01-28,000001,Vente,265050,477,,RTE DE VILLEFRANCHE,0262,69480,69009,Anse,69,,,69009000AL0086,,,26,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.715489,45.941497
2019-1008643,2019-01-28,000001,Vente,185900,1722,,AV DE L EUROPE,0032,69480,69009,Anse,69,,,69009000AM0247,,,9,66.83,,,,,,,,,1,2,Appartement,66,2,,,,,,4.712711,45.945751
2019-1008643,2019-01-28,000001,Vente,185900,1718,,AV DE L EUROPE,0032,69480,69009,Anse,69,,,69009000AM0247,,,30,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.712711,45.945751
2019-1008669,2019-02-07,000001,Vente en l'état futur d'achèvement,257384,,,PONT DE BRIGNEUX,B076,69480,69009,Anse,69,,,69009000AC0374,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,356,4.706551,45.928077
2019-1008669,2019-02-07,000001,Vente en l'état futur d'achèvement,257384,,,AUX CARRIERES,B016,69480,69009,Anse,69,,,69009000AD0314,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,3,4.706417,45.928044
2019-1008673,2019-02-08,000002,Vente,250000,370,,RUE DES TROIS CHATELS,0190,69480,69009,Anse,69,,,69009000AB0349,,,,,,,,,,,,,0,1,Maison,99,5,,,,,,4.716226,45.932223
2019-1008680,2019-02-01,000001,Vente,135000,144,,RTE DE VILLEFRANCHE,0262,69480,69009,Anse,69,,,69009000AK0018,,,,,,,,,,,,,0,1,Maison,84,3,S,sols,,,67,4.71731,45.938516
