id_mutation,date_mutation,nature_mutation,price,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,type_local,nombre_pieces_principales,surface_terrain,longitude,latitude
2020-680956,2020-11-10,Vente,160000.0,36,,AV ROSA PARKS,6138,69009,Lyon 9e Arrondissement,69,47.6,47.0,Appartement,2,0.0,4.78975,45.78703
2020-680956,2020-11-10,Vente,160000.0,40,,AV ROSA PARKS,6138,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.78975,45.78703
2020-680957,2020-11-16,Vente,650000.0,30,,QUAI ST VINCENT,6590,69001,Lyon 1er Arrondissement,69,,135.0,Appartement,5,0.0,4.82404,45.76861
2020-680958,2020-11-12,Vente,1.0,0,,CRS CHARLEMAGNE,1490,69002,Lyon 2e Arrondissement,69,,,,0,357.0,4.81737,45.73921
2020-680958,2020-11-12,Vente,1.0,0,,CRS CHARLEMAGNE,1490,69002,Lyon 2e Arrondissement,69,,,,0,133.0,4.81711,45.73931
2020-680958,2020-11-12,Vente,1.0,0,,CRS CHARLEMAGNE,1490,69002,Lyon 2e Arrondissement,69,,,,0,130.0,4.81746,45.73919
2020-680958,2020-11-12,Vente,1.0,0,,RUE PAUL MONTROCHET,5290,69002,Lyon 2e Arrondissement,69,,,,0,0.0,4.81694,45.73943
2020-680958,2020-11-12,Vente,1.0,0,,RUE PAUL MONTROCHET,5290,69002,Lyon 2e Arrondissement,69,,,,0,0.0,4.81694,45.73943
2020-680958,2020-11-12,Vente,1.0,0,,RUE PAUL MONTROCHET,5290,69002,Lyon 2e Arrondissement,69,,,,0,263.0,4.81693,45.73941
2020-680959,2020-11-18,Vente,1.0,0,,RUE ST-BONAVENTURE,6265,69002,Lyon 2e Arrondissement,69,,,,0,3.0,4.83711,45.7627
2020-680959,2020-11-18,Vente,1.0,0,,RUE ST-BONAVENTURE,6265,69002,Lyon 2e Arrondissement,69,,,,0,5.0,4.83704,45.76271
2020-680959,2020-11-18,Vente,1.0,0,,RUE ST-BONAVENTURE,6265,69002,Lyon 2e Arrondissement,69,,,,0,14.0,4.83698,45.76273
2020-680959,2020-11-18,Vente,1.0,0,,RUE GROLEE,3375,69002,Lyon 2e Arrondissement,69,,,,0,12.0,4.83688,45.76276
2020-680959,2020-11-18,Vente,1.0,0,,RUE GROLEE,3375,69002,Lyon 2e Arrondissement,69,,,,0,1.0,4.8367,45.76302
2020-680959,2020-11-18,Vente,1.0,0,,RUE CHAMPIER,1405,69002,Lyon 2e Arrondissement,69,,,,0,6.0,4.83709,45.7633
2020-680959,2020-11-18,Vente,1.0,0,,RUE CHAMPIER,1405,69002,Lyon 2e Arrondissement,69,,,,0,5.0,4.83712,45.76324
2020-680959,2020-11-18,Vente,1.0,2,,RUE CHAMPIER,1405,69002,Lyon 2e Arrondissement,69,,,,0,7.0,4.83715,45.7632
2020-680960,2020-11-20,Vente,410000.0,69,,RUE SAINT GEORGES,6365,69005,Lyon 5e Arrondissement,69,65.36,70.0,Appartement,3,0.0,4.82412,45.75558
