id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2016-855479,2016-11-30,Vente,74000.0,,,CHANTE ALOUETTE,B012,69790.0,69002,Aigueperse,69,,,,220.0,4.412973,46.286186
2016-855479,2016-11-30,Vente,74000.0,,,CHANTE ALOUETTE,B012,69790.0,69002,Aigueperse,69,,,,330.0,4.413057,46.286091
2016-855479,2016-11-30,Vente,74000.0,,,CHANTE ALOUETTE,B012,69790.0,69002,Aigueperse,69,,,,22.0,4.412979,46.286259
2016-855813,2016-12-22,Vente,2200.0,,,LES GORLATS,B028,69790.0,69002,Aigueperse,69,,,,11855.0,4.3985,46.272913
2016-855813,2016-12-22,Vente,2200.0,,,LES GORLATS,B028,69790.0,69002,Aigueperse,69,,,,2160.0,4.398311,46.273146
2016-820470,2016-01-22,Vente,110000.0,2.0,,QUAI GENERAL DE GAULLE,0127,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.834729,45.875901
2016-820470,2016-01-22,Vente,110000.0,2.0,,QUAI GENERAL DE GAULLE,0127,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.834729,45.875901
2016-820470,2016-01-22,Vente,110000.0,2.0,,QUAI GENERAL DE GAULLE,0127,69250.0,69003,Albigny-sur-Saône,69,50.31,48.0,1.0,,4.834729,45.875901
2016-820576,2016-01-28,Vente,111700.0,9002.0,,RUE PASTEUR,0230,69250.0,69003,Albigny-sur-Saône,69,,70.0,3.0,238.0,4.832725,45.860043
2016-820601,2016-02-12,Vente,135000.0,20.0,,CHE DES CHASSEURS,0060,69250.0,69003,Albigny-sur-Saône,69,,40.0,1.0,750.0,4.825714,45.86636
2016-820944,2016-03-11,Vente,263485.0,21.0,,AV HENRI BARBUSSE,0158,69250.0,69003,Albigny-sur-Saône,69,,110.0,4.0,1433.0,4.835529,45.862316
2016-821006,2016-02-18,Vente,,3.0,,RUE JEAN CHIRAT,0170,69250.0,69003,Albigny-sur-Saône,69,,,,3370.0,4.833049,45.863949
2016-821006,2016-02-18,Vente,,3.0,,RUE JEAN CHIRAT,0170,69250.0,69003,Albigny-sur-Saône,69,,,,782.0,4.833049,45.863949
2016-821006,2016-02-18,Vente,,,,LE BOURG,B005,69250.0,69003,Albigny-sur-Saône,69,,,,2307.0,4.831853,45.863111
2016-821354,2016-03-18,Vente,297500.0,1.0,,QUAI DE VILLEVERT,0250,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831343,45.878174
2016-821354,2016-03-18,Vente,297500.0,1.0,,QUAI DE VILLEVERT,0250,69250.0,69003,Albigny-sur-Saône,69,,109.0,3.0,,4.831343,45.878174
